race_id,venue_slug,date,race_no,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,mark,mark_num,win_rate_4m,top2_rate_4m,top3_rate_4m,nige_4m,maku_4m,close_time,true_line,n_lines,n_players
6220260803020007,hiroshima,2026-08-04,7,4,重倉 高史  富,山,40,95,A1,両,3.92,85.37,注,2,18.5,29.6,51.8,6,0,10:35,4-3/5-1-7/6-2,3,7
6220260803020007,hiroshima,2026-08-04,7,5,橋本 凌汰  岡,山,25,119,A1,逃,3.92,97.34,◎,6,13.0,26.0,47.8,4,0,10:35,4-3/5-1-7/6-2,3,7
6220260803020007,hiroshima,2026-08-04,7,6,生野 優翔  大,分,24,127,A2,逃,3.92,82.0,▲,3,61.1,72.2,88.8,5,6,10:35,4-3/5-1-7/6-2,3,7
6220260803020007,hiroshima,2026-08-04,7,7,高山 雄丞  愛,媛,33,109,A2,両,3.85,83.8,,0,14.2,23.8,23.8,1,1,10:35,4-3/5-1-7/6-2,3,7
7320260804010001,komatsushima,2026-08-04,1,1,真木 寛斗  愛,知,23,127,A2,逃,3.92,82.79,○,5,70.8,79.1,87.5,16,3,10:40,1-5-7/4-3/2-6,3,7
7320260804010001,komatsushima,2026-08-04,1,2,増田 仁  広,島,41,113,A2,逃,3.92,82.3,▲,3,21.7,30.4,43.4,4,3,10:40,1-5-7/4-3/2-6,3,7
7320260804010001,komatsushima,2026-08-04,1,3,原田 泰志  新,潟,40,91,A1,追,3.92,85.79,△,4,20.8,25.0,41.6,0,1,10:40,1-5-7/4-3/2-6,3,7
7320260804010001,komatsushima,2026-08-04,1,4,遠藤 勝弥  静,岡,36,109,A1,両,3.93,85.61,注,2,10.5,21.0,36.8,2,1,10:40,1-5-7/4-3/2-6,3,7
7320260804010001,komatsushima,2026-08-04,1,5,犬塚 貴之  愛,知,25,117,A1,両,3.92,89.93,◎,6,50.0,55.5,66.6,1,7,10:40,1-5-7/4-3/2-6,3,7
7320260804010001,komatsushima,2026-08-04,1,6,内藤 敦  岡,山,50,80,A2,追,3.92,80.71,,0,0.0,0.0,19.0,0,0,10:40,1-5-7/4-3/2-6,3,7
7320260804010001,komatsushima,2026-08-04,1,7,伊藤 健詞  石,川,56,68,A2,追,3.92,87.7,×,1,12.5,25.0,41.6,0,0,10:40,1-5-7/4-3/2-6,3,7
7320260804010002,komatsushima,2026-08-04,2,1,川西 康彦  徳,島,22,127,A2,逃,3.92,75.76,注,2,28.5,38.0,52.3,3,4,11:06,1-4/2-5-6/7-3,3,7
7320260804010002,komatsushima,2026-08-04,2,2,荒木 貴大  埼,玉,33,115,A1,両,3.92,91.66,◎,6,14.2,33.3,66.6,0,3,11:06,1-4/2-5-6/7-3,3,7
7320260804010002,komatsushima,2026-08-04,2,3,愛敬 博之  愛,知,42,94,A1,追,3.93,87.91,×,1,16.6,33.3,62.5,0,1,11:06,1-4/2-5-6/7-3,3,7
7320260804010002,komatsushima,2026-08-04,2,4,武田 良太  愛,媛,44,88,A2,追,3.92,80.5,▲,3,0.0,3.8,26.9,0,0,11:06,1-4/2-5-6/7-3,3,7
7320260804010002,komatsushima,2026-08-04,2,5,岡部 芳幸  福,島,55,66,A1,追,3.92,87.56,○,5,0.0,6.2,37.5,0,0,11:06,1-4/2-5-6/7-3,3,7
7320260804010002,komatsushima,2026-08-04,2,6,黒瀬 浩一  静,岡,60,57,A2,追,3.92,69.08,,0,0.0,0.0,0.0,0,0,11:06,1-4/2-5-6/7-3,3,7
7320260804010002,komatsushima,2026-08-04,2,7,吉田 篤史  奈,良,38,109,A2,両,3.92,87.8,△,4,19.0,47.6,61.9,1,4,11:06,1-4/2-5-6/7-3,3,7
7320260804010003,komatsushima,2026-08-04,3,1,鈴木 達也  福,島,41,97,A2,追,3.92,83.37,注,2,11.1,14.8,29.6,0,0,11:33,7-1/4-2/3-5/6,4,7
7320260804010003,komatsushima,2026-08-04,3,2,大瀬戸 潤一郎  広,島,44,95,A1,追,3.92,90.45,◎,6,25.0,54.1,66.6,0,1,11:33,7-1/4-2/3-5/6,4,7
7320260804010003,komatsushima,2026-08-04,3,3,枝村 弘樹  宮,崎,27,123,A1,逃,3.92,88.28,×,1,42.8,47.6,61.9,2,7,11:33,7-1/4-2/3-5/6,4,7
7320260804010003,komatsushima,2026-08-04,3,4,藤原 俊太郎  岡,山,30,111,A1,逃,3.92,86.35,○,5,23.8,52.3,57.1,5,5,11:33,7-1/4-2/3-5/6,4,7
7320260804010003,komatsushima,2026-08-04,3,5,飯塚 直人  佐,賀,35,98,A2,両,3.92,82.68,△,4,13.6,18.1,27.2,0,0,11:33,7-1/4-2/3-5/6,4,7
7320260804010003,komatsushima,2026-08-04,3,6,北川 紋部  福,井,51,78,A2,追,3.92,79.66,,0,0.0,12.5,25.0,0,0,11:33,7-1/4-2/3-5/6,4,7
7320260804010003,komatsushima,2026-08-04,3,7,日当 泰之  青,森,38,92,A2,両,3.92,81.9,▲,3,4.7,4.7,23.8,0,0,11:33,7-1/4-2/3-5/6,4,7
7320260804010004,komatsushima,2026-08-04,4,1,加賀美 智史  山,梨,43,87,A2,両,3.92,83.8,△,4,12.0,28.0,32.0,2,2,12:01,1-7-4/2-5/3-6,3,7
7320260804010004,komatsushima,2026-08-04,4,2,火島 裕輝  愛,媛,23,123,A1,逃,3.92,87.3,○,5,16.6,41.6,50.0,5,4,12:01,1-7-4/2-5/3-6,3,7
7320260804010004,komatsushima,2026-08-04,4,3,稲留 敦貴,鹿児島,25,125,A2,逃,3.92,87.23,×,1,23.8,38.0,61.9,6,1,12:01,1-7-4/2-5/3-6,3,7
7320260804010004,komatsushima,2026-08-04,4,4,豊田 一馬  群,馬,51,73,A2,追,3.86,81.42,,0,4.7,19.0,28.5,0,0,12:01,1-7-4/2-5/3-6,3,7
7320260804010004,komatsushima,2026-08-04,4,5,滝本 泰行  岡,山,30,107,A1,両,3.92,91.29,◎,6,16.6,37.5,66.6,0,0,12:01,1-7-4/2-5/3-6,3,7
7320260804010004,komatsushima,2026-08-04,4,6,竹内 真一  福,岡,45,89,A2,追,3.92,80.73,▲,3,7.4,7.4,25.9,0,0,12:01,1-7-4/2-5/3-6,3,7
7320260804010004,komatsushima,2026-08-04,4,7,佐藤 政利  新,潟,43,91,A2,追,3.92,83.79,注,2,4.1,20.8,41.6,0,0,12:01,1-7-4/2-5/3-6,3,7
7320260804010005,komatsushima,2026-08-04,5,1,桑原 亮  福,岡,41,91,A1,追,3.92,94.16,○,5,10.0,16.6,30.0,0,1,12:29,2-7/4-1/3-5/6,4,7
7320260804010005,komatsushima,2026-08-04,5,2,小笠原 一真  青,森,26,123,A1,逃,3.92,92.33,▲,3,28.5,42.8,66.6,7,2,12:29,2-7/4-1/3-5/6,4,7
7320260804010005,komatsushima,2026-08-04,5,3,中野 雄喜  京,都,32,111,A1,両,3.92,93.05,△,4,27.7,50.0,72.2,3,3,12:29,2-7/4-1/3-5/6,4,7
7320260804010005,komatsushima,2026-08-04,5,4,一丸 尚伍  大,分,34,121,A1,逃,3.92,102.86,◎,6,66.6,80.0,86.6,6,4,12:29,2-7/4-1/3-5/6,4,7
7320260804010005,komatsushima,2026-08-04,5,5,鷲田 佳史  福,井,43,88,A1,追,3.92,93.77,,0,5.5,16.6,27.7,0,0,12:29,2-7/4-1/3-5/6,4,7
7320260804010005,komatsushima,2026-08-04,5,6,久樹 克門  徳,島,34,113,A1,逃,3.92,92.21,注,2,25.0,41.6,50.0,0,2,12:29,2-7/4-1/3-5/6,4,7
7320260804010005,komatsushima,2026-08-04,5,7,小菅 誠,神奈川,46,90,A1,追,3.93,92.77,×,1,22.2,33.3,61.1,0,0,12:29,2-7/4-1/3-5/6,4,7
