month,race_id,variant,actual,current,raw,mark,market_fav,market_first,actual_order_odds,market_fav_odds,winner_role,second_role,third_role,winner_score,second_score,third_score,winner_mark,second_mark,third_mark
2026_03,5620260301010003,OH_HIGH,2-5-1,2-1-4,1-2-5,2-5-1,2-1-5,2,73.7,66.3,popular_pos2,popular_pos3plus,other_pos2,87.75,81.57,88.25,6.0,4.0,1.0
2026_03,7520260227030011,OH_HIGH,1-4-7,1-4-7,1-4-7,1-4-7,1-4-7,1,8.0,8.0,popular_pos2,solo,other_head,100.31,95.77,91.62,6.0,5.0,1.0
2026_04,2420260401010003,OH_HIGH,3-2-6,2-3-6,2-3-6,,3-2-6,3,227.8,227.8,other_head,popular_pos2,other_head,85.66,86.57,80.66,,,
2026_04,6120260402010003,OH_HIGH,4-2-5,4-2-5,4-2-5,,2-5-4,2,62.2,19.4,popular_pos2,other_pos2,other_head,88.71,88.16,84.85,,,
2026_04,5620260401030001,BASE,2-5-3,5-2-3,5-2-3,,5-2-3,2,35.3,35.1,solo,popular_pos2,other_pos2,85.28,86.14,84.66,,,
2026_04,5620260401030001,OH_HIGH,2-5-3,5-2-3,5-2-3,,5-2-3,2,35.3,35.1,solo,popular_pos2,other_pos2,85.28,86.14,84.66,,,
2026_04,5620260401030008,BASE,1-5-7,1-7-5,1-7-5,,1-5-7,1,46.8,46.8,popular_pos2,other_pos2,other_pos2,96.66,89.23,91.5,,,
2026_05,5320260501010004,OH_HIGH,5-2-3,3-2-5,3-2-5,3-5-2,2-5-3,2,27.9,12.1,other_head,other_pos2,popular_pos2,83.08,87.0,88.2,2.0,1.0,6.0
2026_05,1120260430030003,BASE,7-3-1,7-3-1,7-3-1,1-3-7,7-3-1,7,33.5,33.5,solo,other_pos2,popular_pos2,90.77,90.06,85.04,1.0,4.0,5.0
2026_05,1120260430030003,OH_HIGH,7-3-1,7-3-1,7-3-1,1-3-7,7-3-1,7,33.5,33.5,solo,other_pos2,popular_pos2,90.77,90.06,85.04,1.0,4.0,5.0
2026_05,5320260501030003,OH_HIGH,3-7-5,5-7-3,5-7-3,5-3-7,7-3-5,7,52.7,39.6,other_head,other_pos2,popular_pos2,85.57,88.2,92.33,4.0,1.0,6.0
2026_06,3820260531030007,BASE,3-2-5,2-5-3,2-3-5,2-3-5,5-2-3,5,97.5,27.4,other_pos2,popular_pos3plus,popular_pos2,91.8,91.85,89.72,0.0,0.0,0.0
2026_06,4220260601030002,BASE,4-1-2,4-1-2,4-1-2,4-2-1,4-1-2,4,44.1,44.1,popular_pos2,other_pos2,popular_pos3plus,87.8,84.58,82.15,6.0,1.0,4.0
2026_06,4220260601030002,OH_HIGH,4-1-2,4-1-2,4-1-2,4-2-1,4-1-2,4,44.1,44.1,popular_pos2,other_pos2,popular_pos3plus,87.8,84.58,82.15,6.0,1.0,4.0
