month,race_id,variant,policy,target,head_bust,candidate_sets,actual,set_match,eligible_count,picks,pick_odds,ticket_count,bet,hit,stake,pay
2025_11,1220251103030005,OH_HIGH,MKT2,3,1.0,1-2-7,1-2-5,0.0,6,1-7-2|1-2-7,32.20|35.00,2,1,0,200,0
2025_11,1220251103030006,BASE,MKT1,1,1.0,3-4-5,3-4-5,1.0,4,4-5-3,58.10,1,1,0,100,0
2025_11,1220251103030006,BASE,MKT2,1,1.0,3-4-5,3-4-5,1.0,4,4-5-3|3-5-4,58.10|94.60,2,1,0,200,0
2025_11,1220251103030006,OH_HIGH,MKT1,1,1.0,3-4-5,3-4-5,1.0,4,4-5-3,58.10,1,1,0,100,0
2025_11,1220251103030006,OH_HIGH,MKT2,1,1.0,3-4-5,3-4-5,1.0,4,4-5-3|3-5-4,58.10|94.60,2,1,0,200,0
2025_11,1220251103010007,BASE,MKT1,1,0.0,,1-4-7,0.0,0,,,0,0,0,0,0
2025_11,1220251103010007,BASE,MKT2,1,0.0,,1-4-7,0.0,0,,,0,0,0,0,0
2025_11,1220251103010007,OH_HIGH,MKT1,1,0.0,3-4-5,1-4-7,0.0,6,5-3-4,566.40,1,1,0,100,0
2025_11,1220251103010007,OH_HIGH,MKT2,1,0.0,3-4-5,1-4-7,0.0,6,5-3-4|5-4-3,566.40|703.90,2,1,0,200,0
2025_11,7320251103020001,BASE,MKT1,7,1.0,3-5-6,4-3-5,0.0,6,3-5-6,280.10,1,1,0,100,0
2025_11,7320251103020001,BASE,MKT2,7,1.0,3-5-6,4-3-5,0.0,6,3-5-6|3-6-5,280.10|344.20,2,1,0,200,0
2025_11,7320251103020001,OH_HIGH,MKT1,7,1.0,,4-3-5,0.0,0,,,0,0,0,0,0
2025_11,7320251103020001,OH_HIGH,MKT2,7,1.0,,4-3-5,0.0,0,,,0,0,0,0,0
2025_11,7320251103030001,BASE,MKT1,1,0.0,2-3-5,5-1-2,0.0,5,5-2-3,36.20,1,1,0,100,0
2025_11,7320251103030001,BASE,MKT2,1,0.0,2-3-5,5-1-2,0.0,5,5-2-3|3-5-2,36.20|37.00,2,1,0,200,0
2025_11,7320251103030001,OH_HIGH,MKT1,1,0.0,2-3-5,5-1-2,0.0,5,5-2-3,36.20,1,1,0,100,0
2025_11,7320251103030001,OH_HIGH,MKT2,1,0.0,2-3-5,5-1-2,0.0,5,5-2-3|3-5-2,36.20|37.00,2,1,0,200,0
2025_11,7320251103020002,BASE,MKT1,3,0.0,2-5-7,7-3-2,0.0,6,7-5-2,41.60,1,1,0,100,0
2025_11,7320251103020002,BASE,MKT2,3,0.0,2-5-7,7-3-2,0.0,6,7-5-2|7-2-5,41.60|90.90,2,1,0,200,0
2025_11,7320251103020002,OH_HIGH,MKT1,3,0.0,2-5-7,7-3-2,0.0,6,7-5-2,41.60,1,1,0,100,0
2025_11,7320251103020002,OH_HIGH,MKT2,3,0.0,2-5-7,7-3-2,0.0,6,7-5-2|7-2-5,41.60|90.90,2,1,0,200,0
2025_11,7320251103030002,BASE,MKT1,4,1.0,1-2-7,7-1-3,0.0,4,7-2-1,133.60,1,1,0,100,0
2025_11,7320251103030002,BASE,MKT2,4,1.0,1-2-7,7-1-3,0.0,4,7-2-1|1-2-7,133.60|156.10,2,1,0,200,0
2025_11,7320251103030002,OH_HIGH,MKT1,4,1.0,,7-1-3,0.0,0,,,0,0,0,0,0
2025_11,7320251103030002,OH_HIGH,MKT2,4,1.0,,7-1-3,0.0,0,,,0,0,0,0,0
2025_11,7320251103020003,BASE,MKT1,5,0.0,1-2-4,5-2-4,0.0,6,2-4-1,52.30,1,1,0,100,0
2025_11,7320251103020003,BASE,MKT2,5,0.0,1-2-4,5-2-4,0.0,6,2-4-1|2-1-4,52.30|113.00,2,1,0,200,0
2025_11,7320251103020003,OH_HIGH,MKT1,5,0.0,,5-2-4,0.0,0,,,0,0,0,0,0
2025_11,7320251103020003,OH_HIGH,MKT2,5,0.0,,5-2-4,0.0,0,,,0,0,0,0,0
2025_11,7320251103020004,BASE,MKT1,6,1.0,,1-4-5,0.0,0,,,0,0,0,0,0
2025_11,7320251103020004,BASE,MKT2,6,1.0,,1-4-5,0.0,0,,,0,0,0,0,0
2025_11,7320251103020004,OH_HIGH,MKT1,6,1.0,1-2-4,1-4-5,0.0,4,4-1-2,60.70,1,1,0,100,0
2025_11,7320251103020004,OH_HIGH,MKT2,6,1.0,1-2-4,1-4-5,0.0,4,4-1-2|2-1-4,60.70|121.60,2,1,0,200,0
2025_11,7320251103030004,BASE,MKT1,2,1.0,1-3-7|1-5-7,1-7-4,0.0,9,3-7-1,52.50,1,1,0,100,0
2025_11,7320251103030004,BASE,MKT2,2,1.0,1-3-7|1-5-7,1-7-4,0.0,9,3-7-1|7-1-3,52.50|60.10,2,1,0,200,0
2025_11,7320251103030004,OH_HIGH,MKT1,2,1.0,1-3-7|1-5-7,1-7-4,0.0,9,3-7-1,52.50,1,1,0,100,0
2025_11,7320251103030004,OH_HIGH,MKT2,2,1.0,1-3-7|1-5-7,1-7-4,0.0,9,3-7-1|7-1-3,52.50|60.10,2,1,0,200,0
2025_11,7320251103030011,BASE,MKT1,5,0.0,1-3-4|1-4-7,5-1-4,0.0,12,1-4-7,410.80,1,1,0,100,0
2025_11,7320251103030011,BASE,MKT2,5,0.0,1-3-4|1-4-7,5-1-4,0.0,12,1-4-7|4-7-1,410.80|488.40,2,1,0,200,0
