month,race_id,trio,ticket,odds,market_p,actual_hit,score_order,winner_score_rank,line_pos_order,winner_line_pos,running_style_order,winner_running_style,escape_count,winner_is_escape,winner_score_rank_x_line_pos,group_score_percentile
2025_01,1320250104010005,1-2-4,4-2-1,52.0,0.014410612936884407,0,2-1-3,2,1-2-2,1,両-追-追,両,0,0,2x1,0.42857142857142855
2025_01,1320250104010005,1-4-5,1-4-5,90.4,0.008289290627411385,0,3-2-1,3,2-1-1,2,追-両-逃,追,1,0,3x2,0.37142857142857144
2025_01,1320250104010005,1-4-5,1-5-4,155.5,0.00481898310429575,0,3-1-2,3,2-1-1,2,追-逃-両,追,1,0,3x2,0.37142857142857144
2025_01,1320250104010005,1-4-5,4-1-5,63.4,0.011819430169053456,0,2-3-1,2,1-2-1,1,両-追-逃,両,1,0,2x1,0.37142857142857144
2025_01,1320250104010005,1-4-5,4-5-1,90.7,0.008261872907585326,0,2-1-3,2,1-1-2,1,両-逃-追,両,1,0,2x1,0.37142857142857144
2025_01,1320250104010005,1-4-5,5-1-4,172.3,0.004349111275205973,0,1-3-2,1,1-2-1,1,逃-追-両,逃,1,1,1x1,0.37142857142857144
2025_01,1320250104010005,1-4-5,5-4-1,126.2,0.0059378119866718634,0,1-2-3,1,1-1-2,1,逃-両-追,逃,1,1,1x1,0.37142857142857144
2025_01,1320250104010005,2-3-4,2-3-4,182.9,0.004097057806003221,0,2-1-3,2,2-1-1,2,追-両-両,追,0,0,2x2,0.08571428571428572
2025_01,1320250104010005,2-3-4,2-4-3,133.1,0.005629991530563404,0,2-3-1,2,2-1-1,2,追-両-両,追,0,0,2x2,0.08571428571428572
2025_01,1320250104010005,2-3-4,3-2-4,148.1,0.005059769565955362,0,1-2-3,1,1-2-1,1,両-追-両,両,0,0,1x1,0.08571428571428572
2025_01,1320250104010005,2-3-4,3-4-2,138.0,0.005430086034188326,0,1-3-2,1,1-1-2,1,両-両-追,両,0,0,1x1,0.08571428571428572
2025_01,1320250104010005,2-3-4,4-2-3,65.9,0.011371045109529423,0,3-2-1,3,1-2-1,1,両-追-両,両,0,0,3x1,0.08571428571428572
2025_01,1320250104010005,2-3-4,4-3-2,89.6,0.008363302150870415,0,3-1-2,3,1-1-2,1,両-両-追,両,0,0,3x1,0.08571428571428572
2025_01,1320250104010005,3-4-5,3-4-5,153.4,0.004884953537926917,0,1-3-2,1,1-1-1,1,両-両-逃,両,1,0,1x1,0.05714285714285714
2025_01,1320250104010005,3-4-5,3-5-4,176.0,0.0042576810949885744,0,1-2-3,1,1-1-1,1,両-逃-両,両,1,0,1x1,0.05714285714285714
2025_01,1320250104010005,3-4-5,4-3-5,100.7,0.007441428726097211,0,3-1-2,3,1-1-1,1,両-両-逃,両,1,0,3x1,0.05714285714285714
2025_01,1320250104010005,3-4-5,4-5-3,98.8,0.007584533124676003,0,3-2-1,3,1-1-1,1,両-逃-両,両,1,0,3x1,0.05714285714285714
2025_01,1320250104010005,3-4-5,5-3-4,178.7,0.004193351274303241,0,2-1-3,2,1-1-1,1,逃-両-両,逃,1,1,2x1,0.05714285714285714
2025_01,1320250104010005,3-4-5,5-4-3,122.6,0.006112168619233191,0,2-3-1,2,1-1-1,1,逃-両-両,逃,1,1,2x1,0.05714285714285714
