month,period,race_id,trio_key,ticket,odds,market_p,actual_hit,return_units,role_set,odds_rank_ascending
2025_07,2025_H2,1120250701020005,1-2-3,1-2-3,102.9,0.007264615725177239,0,0.0,BANTE+BANTE+BANTE,1
2025_07,2025_H2,1120250701020005,1-2-3,1-3-2,113.4,0.00659196612099416,0,0.0,BANTE+BANTE+BANTE,2
2025_07,2025_H2,1120250701020005,1-2-3,3-1-2,257.0,0.0029086729887966454,0,0.0,BANTE+BANTE+BANTE,3
2025_07,2025_H2,1120250701020005,1-2-3,2-1-3,313.4,0.0023852232231038224,0,0.0,BANTE+BANTE+BANTE,4
2025_07,2025_H2,1120250701020005,1-2-3,3-2-1,319.1,0.002342616603324155,0,0.0,BANTE+BANTE+BANTE,5
2025_07,2025_H2,1120250701020005,1-2-3,2-3-1,606.5,0.0012325291972312248,0,0.0,BANTE+BANTE+BANTE,6
2025_07,2025_H2,1120250701020007,1-2-3,1-3-2,13.8,0.05423103162444623,0,0.0,BANTE+OTHER_HEAD+RYO_HEAD,1
2025_07,2025_H2,1120250701020007,1-2-3,1-2-3,29.5,0.025369092759910436,0,0.0,BANTE+OTHER_HEAD+RYO_HEAD,2
2025_07,2025_H2,1120250701020007,1-2-3,2-1-3,82.1,0.009115569262087186,0,0.0,BANTE+OTHER_HEAD+RYO_HEAD,3
2025_07,2025_H2,1120250701020007,1-2-3,3-1-2,156.6,0.004778979798322848,0,0.0,BANTE+OTHER_HEAD+RYO_HEAD,4
2025_07,2025_H2,1120250701020007,1-2-3,2-3-1,242.9,0.0030810549049705965,0,0.0,BANTE+OTHER_HEAD+RYO_HEAD,5
2025_07,2025_H2,1120250701020007,1-2-3,3-2-1,356.0,0.0021022141472397692,0,0.0,BANTE+OTHER_HEAD+RYO_HEAD,6
2025_07,2025_H2,1120250701030002,1-2-3,1-3-2,44.7,0.016754555558728144,0,0.0,BANTE+BANTE+OTHER_HEAD,1
2025_07,2025_H2,1120250701030002,1-2-3,1-2-3,68.4,0.010949249027414445,0,0.0,BANTE+BANTE+OTHER_HEAD,2
2025_07,2025_H2,1120250701030002,1-2-3,2-1-3,133.2,0.005622587338402014,0,0.0,BANTE+BANTE+OTHER_HEAD,3
2025_07,2025_H2,1120250701030002,1-2-3,3-1-2,169.1,0.004428909718954158,0,0.0,BANTE+BANTE+OTHER_HEAD,4
2025_07,2025_H2,1120250701030002,1-2-3,2-3-1,330.2,0.0022681060977442404,0,0.0,BANTE+BANTE+OTHER_HEAD,5
2025_07,2025_H2,1120250701030002,1-2-3,3-2-1,372.8,0.002008928737862522,0,0.0,BANTE+BANTE+OTHER_HEAD,6
2025_07,2025_H2,1120250701030007,1-2-3,1-3-2,193.4,0.0038744517858218426,0,0.0,BANTE+RYO_HEAD+RYO_HEAD,1
2025_07,2025_H2,1120250701030007,1-2-3,1-2-3,230.2,0.003255078085916353,0,0.0,BANTE+RYO_HEAD+RYO_HEAD,2
2025_07,2025_H2,1120250701030007,1-2-3,3-1-2,438.8,0.0017076549119825531,0,0.0,BANTE+RYO_HEAD+RYO_HEAD,3
2025_07,2025_H2,1120250701030007,1-2-3,2-1-3,541.9,0.0013827624568701687,0,0.0,BANTE+RYO_HEAD+RYO_HEAD,4
2025_07,2025_H2,1120250701030007,1-2-3,3-2-1,682.2,0.0010983860676897453,0,0.0,BANTE+RYO_HEAD+RYO_HEAD,5
2025_07,2025_H2,1120250701030007,1-2-3,2-3-1,703.4,0.001065281454901826,0,0.0,BANTE+RYO_HEAD+RYO_HEAD,6
2025_07,2025_H2,1120250708020010,1-2-3,2-1-3,45.4,0.016498152674297887,0,0.0,BANTE+OTHER_HEAD+SOLO,1
2025_07,2025_H2,1120250708020010,1-2-3,1-2-3,63.4,0.011814134564875773,0,0.0,BANTE+OTHER_HEAD+SOLO,2
2025_07,2025_H2,1120250708020010,1-2-3,1-3-2,66.3,0.011297377547709262,0,0.0,BANTE+OTHER_HEAD+SOLO,3
2025_07,2025_H2,1120250708020010,1-2-3,2-3-1,154.8,0.00483860550008478,0,0.0,BANTE+OTHER_HEAD+SOLO,4
2025_07,2025_H2,1120250708020010,1-2-3,3-1-2,314.9,0.002378584094674894,0,0.0,BANTE+OTHER_HEAD+SOLO,5
2025_07,2025_H2,1120250708020010,1-2-3,3-2-1,473.9,0.001580536255355822,0,0.0,BANTE+OTHER_HEAD+SOLO,6
2025_07,2025_H2,1120250708020011,1-4-7,7-1-4,5.4,0.1385652745998723,0,0.0,ESCAPE_HEAD+RYO_HEAD+SOLO,1
2025_07,2025_H2,1120250708020011,1-4-7,1-7-4,7.1,0.10538767363933953,0,0.0,ESCAPE_HEAD+RYO_HEAD+SOLO,2
2025_07,2025_H2,1120250708020011,1-4-7,7-4-1,29.3,0.025537627400659065,0,0.0,ESCAPE_HEAD+RYO_HEAD+SOLO,3
2025_07,2025_H2,1120250708020011,1-4-7,1-4-7,40.0,0.018706312070982764,0,0.0,ESCAPE_HEAD+RYO_HEAD+SOLO,4
2025_07,2025_H2,1120250708020011,1-4-7,4-7-1,93.4,0.008011268552883411,0,0.0,ESCAPE_HEAD+RYO_HEAD+SOLO,5
