month,race_id,date,venue,race_no,line,target,actual,candidate_sets,best_overlap,n_best_variants,miss_roles,extra_roles,one_replacement,extra_frame,extra_role,missing_frame,missing_role,score_gap_missing_minus_extra,detail
2026_03,6220260228030005,2026-03-02,hiroshima,5,1-7-6/2-5/3-4,1,6-3-7,3-5-7,2,1,popular_pos3plus,other_pos2,1,5,other_pos2,6,popular_pos3plus,-7.769999999999996,extra5:other_pos2:s89.00->miss6:popular_pos3plus:s81.23:gap-7.77
2026_03,6220260228030007,2026-03-02,hiroshima,7,1-6/5-4/3-7-2,3,1-5-4,2-4-5,2,1,other_head,popular_pos3plus,1,2,popular_pos3plus,1,other_head,-3.559999999999988,extra2:popular_pos3plus:s95.60->miss1:other_head:s92.04:gap-3.56
2026_03,2720260301020007,2026-03-02,keiokaku,7,4-1/2-5/3-7-6,3,7-4-1,1-5-7,2,1,other_head,other_pos2,1,5,other_pos2,4,other_head,2.760000000000005,extra5:other_pos2:s81.88->miss4:other_head:s84.64:gap+2.76
2026_03,7320260301020006,2026-03-02,komatsushima,6,1-2/4-3/5-6-7,4,3-6-2,1-2-3,2,1,other_pos2,other_head,1,1,other_head,6,other_pos2,-6.469999999999999,extra1:other_head:s91.75->miss6:other_pos2:s85.28:gap-6.47
2026_03,7320260301020007,2026-03-02,komatsushima,7,1-6/5-2-3/4-7,5,2-3-6,1-2-3,2,1,other_pos2,other_head,1,1,other_head,6,other_pos2,-7.390000000000001,extra1:other_head:s94.92->miss6:other_pos2:s87.53:gap-7.39
2026_04,2720260401010004,2026-04-01,keiokaku,4,1-7-3/6/4-2-5,1,7-3-2,3-4-7,2,1,other_pos2,other_head,1,4,other_head,2,other_pos2,-3.6299999999999955,extra4:other_head:s86.96->miss2:other_pos2:s83.33:gap-3.63
2026_04,5620260401010005,2026-04-01,kishiwada,5,2-7-4/6/5-3-1,2,4-6-7,1-4-7,2,1,solo,other_pos3plus,1,1,other_pos3plus,6,solo,-3.200000000000003,extra1:other_pos3plus:s92.81->miss6:solo:s89.61:gap-3.20
2026_04,4220260401010004,2026-04-01,nagoya,4,1-2/3-5/4-6/7,1,3-2-5,2-5-6,2,1,other_head,other_pos2,1,6,other_pos2,3,other_head,2.049999999999997,extra6:other_pos2:s82.61->miss3:other_head:s84.66:gap+2.05
2026_04,4220260401010005,2026-04-01,nagoya,5,1-3/4-2-5/6-7,1,6-7-4,2-3-5,0,1,other_head|other_pos2,other_pos2|other_pos3plus|popular_pos2,0,,,,,,
2026_04,4420260401010007,2026-04-01,ogaki,7,7-1-4/3/5-2-6,7,2-3-5,1-2-4,1,1,other_head|solo,popular_pos2|popular_pos3plus,0,,,,,,
2026_04,2420260401010003,2026-04-01,utsunomiya,3,1-2-7/3-5/6-4,1,3-2-6,2-3-4|2-3-5,2,2,other_head,other_pos2,1,4,other_pos2,6,other_head,-1.5600000000000023,extra4:other_pos2:s82.22->miss6:other_head:s80.66:gap-1.56 ; extra5:other_pos2:s82.11->miss6:other_head:s80.66:gap-1.45
2026_04,4220260401020005,2026-04-02,nagoya,5,3-4/1-6-7/5-2,3,1-4-6,1-2-4,2,1,other_pos2,other_pos2,1,2,other_pos2,6,other_pos2,-5.3799999999999955,extra2:other_pos2:s88.38->miss6:other_pos2:s83.00:gap-5.38
2026_04,4420260401020008,2026-04-02,ogaki,8,6-3-5-1/7-2-4,6,4-1-2,2-3-5|1-2-3,2,1,other_pos3plus,popular_pos2,1,3,popular_pos2,4,other_pos3plus,-4.689999999999998,extra3:popular_pos2:s84.41->miss4:other_pos3plus:s79.72:gap-4.69
2026_04,6120260402010003,2026-04-02,tamano,3,1-4/7-3/5-2-6,1,4-2-5,2-3-4,2,1,other_head,other_pos2,1,3,other_pos2,5,other_head,-1.2000000000000028,extra3:other_pos2:s86.05->miss5:other_head:s84.85:gap-1.20
2026_04,2420260401020004,2026-04-02,utsunomiya,4,3-1/2-5/7-4-6,3,2-7-5,1-4-5,1,1,other_head,other_pos2|popular_pos2,0,,,,,,
2026_04,2420260401020006,2026-04-02,utsunomiya,6,1-4-5/7/3-2-6,3,1-5-2,1-2-6,2,1,other_pos3plus,popular_pos3plus,1,6,popular_pos3plus,5,other_pos3plus,0.9099999999999966,extra6:popular_pos3plus:s85.66->miss5:other_pos3plus:s86.57:gap+0.91
2026_04,2720260401030003,2026-04-03,keiokaku,3,5-3/7-1/2/4-6,5,4-6-3,2-3-4,2,1,other_pos2,solo,1,2,solo,6,other_pos2,-4.230000000000004,extra2:solo:s87.56->miss6:other_pos2:s83.33:gap-4.23
2026_04,4220260401030004,2026-04-03,nagoya,4,3-5-6/4-1/7-2,3,5-4-6,1-2-5,1,1,other_head|popular_pos3plus,other_pos2,0,,,,,,
2026_04,4220260401030007,2026-04-03,nagoya,7,5-2/1-4/3/7-6,5,2-3-1,1-2-4,2,1,solo,other_pos2,1,4,other_pos2,3,solo,2.6199999999999903,extra4:other_pos2:s91.26->miss3:solo:s93.88:gap+2.62
2026_04,6120260402020001,2026-04-03,tamano,1,3-7-1/2-4/5/6,3,7-5-1,1-4-7,2,1,solo,other_pos2,1,4,other_pos2,5,solo,1.6000000000000085,extra4:other_pos2:s82.30->miss5:solo:s83.90:gap+1.60
2026_05,5320260501010004,2026-05-01,nara,4,1-3-7/5-2-4/6,1,5-2-3,2-3-4,2,1,other_head,other_pos3plus,1,4,other_pos3plus,5,other_head,-1.210000000000008,extra4:other_pos3plus:s84.29->miss5:other_head:s83.08:gap-1.21
2026_05,4620260430030005,2026-05-02,toyama,5,1-4/5/6/3-2-7,3,5-2-7,2-4-7,2,1,solo,other_pos2,1,4,other_pos2,5,solo,-0.8799999999999955,extra4:other_pos2:s83.33->miss5:solo:s82.45:gap-0.88
2026_05,4620260430030011,2026-05-02,toyama,11,4/2-1/7-3/5-6,5,4-3-6,1-3-4,2,1,popular_pos2,other_pos2,1,1,other_pos2,6,popular_pos2,-8.61,extra1:other_pos2:s94.66->miss6:popular_pos2:s86.05:gap-8.61
2026_05,5320260501030001,2026-05-03,nara,1,3-5-7/4-1/2-6,4,3-2-6,1-5-7,0,1,other_head|other_pos2,other_pos2|other_pos3plus|popular_pos2,0,,,,,,
2026_05,5320260501030003,2026-05-03,nara,3,1-4-6/2-5/3-7,2,3-7-5,4-5-7,2,1,other_head,other_pos2,1,4,other_pos2,3,other_head,-2.0,extra4:other_pos2:s87.57->miss3:other_head:s85.57:gap-2.00
2026_05,5320260501030011,2026-05-03,nara,11,2-5-4/7-3-1/6,2,6-7-3,1-4-5|3-4-5,1,1,other_head|solo,popular_pos2|popular_pos3plus,0,,,,,,
2026_05,1220260504020003,2026-05-05,aomori,3,5-2/1-4/3-7/6,5,3-4-7,2-3-4,2,1,other_pos2,popular_pos2,1,2,popular_pos2,7,other_pos2,-1.4299999999999926,extra2:popular_pos2:s84.19->miss7:other_pos2:s82.76:gap-1.43
2026_06,4220260601010001,2026-06-01,nagoya,1,1-5-2/7-3-6/4,7,5-1-2,1-3-5,2,1,other_pos3plus,popular_pos2,1,3,popular_pos2,2,other_pos3plus,-5.0,extra3:popular_pos2:s87.53->miss2:other_pos3plus:s82.53:gap-5.00
2026_06,4220260601010005,2026-06-01,nagoya,5,3-7/2-4/5-1/6,2,7-3-5,1-4-5,1,1,other_head|other_pos2,other_pos2|popular_pos2,0,,,,,,
2026_06,3120260531030002,2026-06-02,matsudo,2,1-5-4/3/6-2-7,1,6-2-7,2-4-5,1,1,other_head|other_pos3plus,popular_pos2|popular_pos3plus,0,,,,,,
2026_06,3120260531030004,2026-06-02,matsudo,4,5-1-7/2/3-6/4,5,2-1-4,1-2-7,2,1,solo,popular_pos3plus,1,7,popular_pos3plus,4,solo,1.6599999999999966,extra7:popular_pos3plus:s80.95->miss4:solo:s82.61:gap+1.66
2026_06,4220260601020004,2026-06-02,nagoya,4,5-3-1/7-2-4/6,7,2-6-4,2-4-5,2,1,solo,other_head,1,5,other_head,6,solo,-9.560000000000002,extra5:other_head:s92.09->miss6:solo:s82.53:gap-9.56
2026_06,3620260531030005,2026-06-02,odawara,5,4-2/5-1/6-7-3,6,5-4-2,2-5-7,2,1,other_head,popular_pos2,1,7,popular_pos2,4,other_head,0.29000000000000625,extra7:popular_pos2:s86.66->miss4:other_head:s86.95:gap+0.29
2026_06,3620260531030007,2026-06-02,odawara,7,6-1/4-2-5/3-7,4,6-1-5,1-2-5|2-5-7,2,1,other_head,popular_pos2,1,2,popular_pos2,6,other_head,-4.260000000000005,extra2:popular_pos2:s90.00->miss6:other_head:s85.74:gap-4.26
2026_06,3820260531030002,2026-06-02,shizuoka,2,1-7/2-3-4/6-5,2,5-7-6,1-3-4,0,1,other_head|other_pos2,other_head|popular_pos2|popular_pos3plus,0,,,,,,
2026_06,5520260601020007,2026-06-02,wakayama,7,2-4/6-5/3-7-1,3,2-4-5,2-5-7,2,1,other_pos2,popular_pos2,1,7,popular_pos2,4,other_pos2,0.8599999999999994,extra7:popular_pos2:s80.59->miss4:other_pos2:s81.45:gap+0.86
2026_06,5520260601020009,2026-06-02,wakayama,9,1-7-4/5-2/6-3,1,2-5-3,2-5-7,2,1,other_pos2,popular_pos2,1,7,popular_pos2,3,other_pos2,-5.159999999999997,extra7:popular_pos2:s90.63->miss3:other_pos2:s85.47:gap-5.16
2026_06,2220260603010007,2026-06-03,maebashi,7,2-1/3-6-5/4/7,3,4-1-2,1-5-6,1,1,other_head|solo,popular_pos2|popular_pos3plus,0,,,,,,
2026_06,4220260601030004,2026-06-03,nagoya,4,1-4-5/6-3/7-2,1,5-4-6,3-4-5|2-4-5,2,2,other_head,other_pos2,1,3,other_pos2,6,other_head,-3.5200000000000102,extra3:other_pos2:s90.15->miss6:other_head:s86.63:gap-3.52 ; extra2:other_pos2:s88.19->miss6:other_head:s86.63:gap-1.56
