split,month,race_id,variant,target,head_bust,result_source,candidate_sets,orders,bets,actual,set_match,bet,bet_hit,stake,pay,reason
TRAIN,2025_05,5120250502030002,OH_EQ,4,1.0,monthly,1-3-6|1-2-3,3-1-6|3-1-2,3-1-6|3-1-2,5-1-6,0.0,1,0.0,200,0,BET
TRAIN,2025_05,5120250502030002,OH_HIGH,4,1.0,monthly,1-2-3,3-1-2,3-1-2,5-1-6,0.0,1,0.0,100,0,BET
TRAIN,2025_05,5120250502030002,OH_TOP,4,1.0,monthly,1-2-3,3-1-2,3-1-2,5-1-6,0.0,1,0.0,100,0,BET
TRAIN,2025_05,5120250502030003,BASE,3,0.0,monthly,,,,3-2-7,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,5120250502030003,OH_EQ,3,0.0,monthly,,,,3-2-7,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,5120250502030003,OH_HIGH,3,0.0,monthly,,,,3-2-7,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,5120250502030003,OH_TOP,3,0.0,monthly,,,,3-2-7,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,5120250502030004,BASE,3,1.0,monthly,1-4-5,4-1-5,,4-1-2,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,5120250502030004,OH_EQ,3,1.0,monthly,,,,4-1-2,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
TRAIN,2025_05,5120250502030004,OH_HIGH,3,1.0,monthly,1-4-7,4-1-7,,4-1-2,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,5120250502030004,OH_TOP,3,1.0,monthly,1-4-7,4-1-7,,4-1-2,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,5120250502010005,BASE,4,1.0,monthly,2-5-7,2-7-5,2-7-5,5-7-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,5120250502010005,OH_EQ,4,1.0,monthly,,,,5-7-1,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
