race_id,date,venue,race_no,line,target,ranking,candidates,actual,head_bust,top3_set_match,detail
4220260804010004,2026-08-04,nagoya,4,3-2-6/4/7-5-1,7,5-3-1-2-4-6,5-3-1,,1.0,0,"1:s=85.94,L=3,p=3,t=3,mr=3,fin=None | 2:s=82.66,L=1,p=2,t=2,mr=4,fin=None | 3:s=90.25,L=1,p=1,t=1,mr=2,fin=None | 4:s=82.61,L=2,p=1,t=1,mr=5,fin=None | 5:s=88.04,L=3,p=2,t=4,mr=1,fin=None | 6:s=73.16,L=1,p=3,t=2,mr=6,fin=None | 7:s=81.72,L=3,p=1,t=1,mr=X,fin=None"
2620260803020002,2026-08-04,seibuen,2,1-7/4/5-2/3-6,1,7-2-3-5-6-4,7-2-3|7-2-5,,1.0,0,"1:s=85.06,L=1,p=1,t=1,mr=X,fin=None | 2:s=81.26,L=3,p=2,t=2,mr=2,fin=None | 3:s=83.50,L=4,p=1,t=1,mr=3,fin=None | 4:s=76.90,L=2,p=1,t=1,mr=6,fin=None | 5:s=82.72,L=3,p=1,t=1,mr=4,fin=None | 6:s=75.95,L=4,p=2,t=2,mr=5,fin=None | 7:s=80.57,L=1,p=2,t=4,mr=1,fin=None"
2620260803020003,2026-08-04,seibuen,3,6-3/1-5/2-7/4,6,3-2-7-1-5-4,3-2-7,,1.0,0,"1:s=90.22,L=2,p=1,t=1,mr=4,fin=None | 2:s=92.88,L=3,p=1,t=1,mr=2,fin=None | 3:s=92.23,L=1,p=2,t=4,mr=1,fin=None | 4:s=84.84,L=4,p=1,t=1,mr=6,fin=None | 5:s=82.50,L=2,p=2,t=2,mr=5,fin=None | 6:s=82.42,L=1,p=1,t=1,mr=X,fin=None | 7:s=87.70,L=3,p=2,t=2,mr=3,fin=None"
2620260803020005,2026-08-04,seibuen,5,3-7/1-4/5-2-6,5,2-7-3-6-4-1,2-7-3,,1.0,0,"1:s=88.03,L=2,p=1,t=1,mr=6,fin=None | 2:s=94.20,L=3,p=2,t=4,mr=1,fin=None | 3:s=95.07,L=1,p=1,t=1,mr=3,fin=None | 4:s=86.45,L=2,p=2,t=2,mr=5,fin=None | 5:s=97.75,L=3,p=1,t=1,mr=X,fin=None | 6:s=86.00,L=3,p=3,t=3,mr=4,fin=None | 7:s=96.94,L=1,p=2,t=2,mr=2,fin=None"
4820260803020003,2026-08-04,yokkaichi,3,4-3-2/5-1/6/7,4,3-2-1-5-6-7,3-2-1,,1.0,0,"1:s=85.37,L=2,p=2,t=2,mr=3,fin=None | 2:s=83.91,L=1,p=3,t=3,mr=2,fin=None | 3:s=83.77,L=1,p=2,t=4,mr=1,fin=None | 4:s=82.83,L=1,p=1,t=1,mr=X,fin=None | 5:s=82.78,L=2,p=1,t=1,mr=4,fin=None | 6:s=81.61,L=3,p=1,t=1,mr=5,fin=None | 7:s=81.19,L=4,p=1,t=1,mr=6,fin=None"
4820260803020006,2026-08-04,yokkaichi,6,6-2-7/3-1/5-4,3,1-2-4-7-5-6,1-2-4,,1.0,0,"1:s=93.95,L=2,p=2,t=4,mr=1,fin=None | 2:s=92.35,L=1,p=2,t=2,mr=2,fin=None | 3:s=91.72,L=2,p=1,t=1,mr=X,fin=None | 4:s=88.75,L=3,p=2,t=2,mr=3,fin=None | 5:s=86.57,L=3,p=1,t=1,mr=5,fin=None | 6:s=85.87,L=1,p=1,t=1,mr=6,fin=None | 7:s=84.65,L=1,p=3,t=2,mr=4,fin=None"
6220260803030002,2026-08-05,hiroshima,2,1-3-7/4/6-5-2,1,3-5-7-2-4-6,3-5-7,,1.0,0,"1:s=84.81,L=1,p=1,t=1,mr=X,fin=None | 2:s=80.16,L=3,p=3,t=2,mr=4,fin=None | 3:s=84.66,L=1,p=2,t=4,mr=1,fin=None | 4:s=79.30,L=2,p=1,t=1,mr=5,fin=None | 5:s=85.55,L=3,p=2,t=2,mr=2,fin=None | 6:s=78.72,L=3,p=1,t=1,mr=6,fin=None | 7:s=82.08,L=1,p=3,t=3,mr=3,fin=None"
6220260803030004,2026-08-05,hiroshima,4,7-3/1/2-5/6-4,7,5-1-3-4-2-6,5-1-3,,1.0,0,"1:s=90.08,L=2,p=1,t=1,mr=2,fin=None | 2:s=86.43,L=3,p=1,t=1,mr=5,fin=None | 3:s=85.42,L=1,p=2,t=4,mr=3,fin=None | 4:s=85.43,L=4,p=2,t=2,mr=4,fin=None | 5:s=91.66,L=3,p=2,t=2,mr=1,fin=None | 6:s=83.80,L=4,p=1,t=1,mr=6,fin=None | 7:s=85.37,L=1,p=1,t=1,mr=X,fin=None"
6220260803030005,2026-08-05,hiroshima,5,4-2-5/6-1/3-7,4,2-7-3-5-1-6,2-7-3,,1.0,0,"1:s=83.12,L=2,p=2,t=2,mr=5,fin=None | 2:s=98.17,L=1,p=2,t=4,mr=1,fin=None | 3:s=86.14,L=3,p=1,t=1,mr=3,fin=None | 4:s=85.61,L=1,p=1,t=1,mr=X,fin=None | 5:s=81.66,L=1,p=3,t=3,mr=4,fin=None | 6:s=80.79,L=2,p=1,t=1,mr=6,fin=None | 7:s=87.85,L=3,p=2,t=2,mr=2,fin=None"
7320260804020001,2026-08-05,komatsushima,1,6-1-4/2-7/3-5,6,2-1-5-4-7-3,2-1-5,,1.0,0,"1:s=82.30,L=1,p=2,t=4,mr=2,fin=None | 2:s=87.80,L=2,p=1,t=1,mr=1,fin=None | 3:s=81.90,L=3,p=1,t=1,mr=6,fin=None | 4:s=80.73,L=1,p=3,t=3,mr=4,fin=None | 5:s=83.79,L=3,p=2,t=2,mr=3,fin=None | 6:s=75.76,L=1,p=1,t=1,mr=X,fin=None | 7:s=79.66,L=2,p=2,t=2,mr=5,fin=None"
7320260804020002,2026-08-05,komatsushima,2,4-1-7/2-5-3/6,4,1-2-7-5-3-6,1-2-7,,1.0,0,"1:s=85.79,L=1,p=2,t=4,mr=1,fin=None | 2:s=86.35,L=2,p=1,t=1,mr=2,fin=None | 3:s=80.50,L=2,p=3,t=2,mr=5,fin=None | 4:s=83.80,L=1,p=1,t=1,mr=X,fin=None | 5:s=80.71,L=2,p=2,t=2,mr=4,fin=None | 6:s=69.08,L=3,p=1,t=1,mr=6,fin=None | 7:s=81.42,L=1,p=3,t=3,mr=3,fin=None"
7320260804020003,2026-08-05,komatsushima,3,7-1/5-2/6-3/4,6,3-1-2-7-4-5,3-1-2|3-2-1,,1.0,0,"1:s=92.77,L=1,p=2,t=2,mr=2,fin=None | 2:s=91.29,L=2,p=2,t=2,mr=3,fin=None | 3:s=93.77,L=3,p=2,t=4,mr=1,fin=None | 4:s=88.28,L=4,p=1,t=1,mr=5,fin=None | 5:s=87.30,L=2,p=1,t=1,mr=6,fin=None | 6:s=82.79,L=3,p=1,t=1,mr=X,fin=None | 7:s=91.66,L=1,p=1,t=1,mr=4,fin=None"
7320260804020004,2026-08-05,komatsushima,4,5-3/2-7/4-1-6,2,1-5-7-3-4-6,1-5-7,,1.0,0,"1:s=94.16,L=3,p=2,t=2,mr=1,fin=None | 2:s=93.05,L=2,p=1,t=1,mr=X,fin=None | 3:s=87.56,L=1,p=2,t=2,mr=4,fin=None | 4:s=87.23,L=3,p=1,t=1,mr=5,fin=None | 5:s=92.33,L=1,p=1,t=1,mr=2,fin=None | 6:s=82.68,L=3,p=3,t=2,mr=6,fin=None | 7:s=87.91,L=2,p=2,t=4,mr=3,fin=None"
4220260804020001,2026-08-05,nagoya,1,5-1-4-2/7/3/6,5,1-7-4-3-2-6,1-7-4,,1.0,0,"1:s=83.90,L=1,p=2,t=4,mr=1,fin=None | 2:s=78.66,L=1,p=4,t=3,mr=5,fin=None | 3:s=82.61,L=3,p=1,t=1,mr=4,fin=None | 4:s=81.38,L=1,p=3,t=3,mr=3,fin=None | 5:s=87.37,L=1,p=1,t=1,mr=X,fin=None | 6:s=73.16,L=4,p=1,t=1,mr=6,fin=None | 7:s=84.76,L=2,p=1,t=1,mr=2,fin=None"
4220260804020002,2026-08-05,nagoya,2,2-7-4/5-1-3/6,2,3-7-1-5-4-6,3-7-1,,1.0,0,"1:s=81.80,L=2,p=2,t=2,mr=3,fin=None | 2:s=87.91,L=1,p=1,t=1,mr=X,fin=None | 3:s=85.94,L=2,p=3,t=2,mr=1,fin=None | 4:s=78.16,L=1,p=3,t=3,mr=5,fin=None | 5:s=84.00,L=2,p=1,t=1,mr=4,fin=None | 6:s=77.80,L=3,p=1,t=1,mr=6,fin=None | 7:s=82.66,L=1,p=2,t=4,mr=2,fin=None"
